tid,mjd,fid,diffmaglim
"ztf",59625.237094900105,1,18.7617
"ztf",59671.37262730021,2,20.8171
"ztf",59671.42003470007,1,20.9251
"ztf",59674.37935189996,1,20.67
"ztf",59674.458738400135,2,20.0265
"ztf",59676.359826399945,2,19.9462
"ztf",59678.343229200225,1,20.4985
"ztf",59678.382060199976,2,20.4994
"ztf",59684.31019680016,1,19.3467
"ztf",59684.342395800166,2,19.5375
"ztf",59687.35993060004,2,19.626
"ztf",59689.26898150006,2,20.0007
"ztf",59689.302488400135,1,19.2634
"ztf",59693.28596059978,2,20.0697
"ztf",59695.24837959977,2,19.6669
"ztf",59695.34831020003,1,18.9411
"ztf",59697.26768520009,1,20.8816
"ztf",59697.32736109989,2,20.3265
"ztf",59699.30442130007,2,20.5434
"ztf",59699.38681709999,1,20.4799
"ztf",59701.34872689983,1,20.4862
"ztf",59707.25964119984,2,20.2335
"ztf",59709.209085599985,2,19.8594
"ztf",59709.275254600216,2,19.9477
"ztf",59713.25827550003,2,19.6089
"ztf",59715.192187500186,2,20.6132
"ztf",59715.2353356001,1,20.0611
"ztf",59718.23755790014,2,20.6489
"ztf",59722.24707179982,1,20.6988
"ztf",59722.25844909996,1,20.6716
"ztf",59724.26745369984,2,20.52
"ztf",59726.20438659983,2,20.6103
"ztf",59726.24701389996,1,20.7111
"ztf",59730.201828700025,1,20.7604
"ztf",59730.227916699834,2,20.5839
"ztf",59732.18778940011,1,20.706
"ztf",59732.21567129996,2,20.6361
"ztf",59734.20513889985,1,20.4361
"ztf",59734.224965299945,2,19.9661
"ztf",59736.19903940009,2,20.551
"ztf",59736.25690970011,1,20.1588
"ztf",59738.198368099984,1,19.7269
"ztf",59738.256817100104,2,20.0179
"ztf",59876.521284699906,2,19.5227
"ztf",59877.52334489999,2,19.9275
"ztf",59877.525902799796,2,19.9237
"ztf",59877.52844909998,2,19.8132
"ztf",59877.53100690013,2,19.9349
"ztf",59877.53356479993,2,19.6302
"ztf",59878.528761600144,2,19.8264
"ztf",59879.524108800106,2,19.7596
"ztf",59879.52918979991,2,19.6477
"ztf",59879.53173610009,2,19.7869
"ztf",59897.492905099876,1,19.4104
"ztf",59899.47481480008,2,18.7566
"ztf",59899.49543979997,1,18.808
"ztf",59902.47677080007,1,19.3124
"ztf",59904.53406250011,2,20.3244
"ztf",59906.45440969989,2,19.9838
"ztf",59909.45043980004,2,20.1509
"ztf",59930.51223379979,2,20.0121
"ztf",59935.53982640011,2,20.7018
"ztf",59969.432731499895,2,20.4785
"ztf",59971.42341439985,2,20.2482
"ztf",59983.41635419987,1,16.9096
"ztf",59993.38484949991,1,18.5597
"ztf",60020.34785880009,2,20.821
"ztf",60044.22700229986,2,20.6032
"ztf",60046.34196759993,2,20.7618
"ztf",60052.33070599986,2,20.64
"ztf",60054.40712960018,2,20.303
"ztf",60056.27800930012,1,20.758
"ztf",60056.32232639985,2,20.6302
"ztf",60058.23324069986,2,20.5419
"ztf",60060.32171300007,2,20.3881
"ztf",60060.392002299894,1,20.2248
"ztf",60062.17952550016,2,20.2325
"ztf",60064.25297449995,1,19.8252
"ztf",60064.28874999983,2,19.8192
