1372,53062,486
1984,53433,609
885,52379,449
2614,54481,350
1278,52735,96
2237,53828,448
1372,53062,589
2614,54481,279
846,52407,119
846,52407,596
1789,54259,190
1790,53876,217
1985,53431,429
2601,54144,271
1975,53734,180
1790,53876,472
522,52024,408
2601,54144,378
2239,53726,239
495,51988,333
1373,53063,434
2022,53827,553
1317,52765,98
1987,53765,464
886,52381,396
1987,53765,164
1455,53089,68
847,52426,558
847,52426,602
495,51988,207
2661,54505,197
1987,53765,82
2601,54144,575
1770,53171,58
522,52024,28
1771,53498,353
2649,54212,215
1695,53473,400
1792,54270,124
2661,54505,550
337,51997,30
1794,54504,331
2662,54505,293
1318,52781,242
1280,52738,361
957,52398,520
1318,52781,201
1793,53883,280
338,51694,579
849,52439,300
1771,53498,100
495,51988,515
1794,54504,190
2662,54505,172
2662,54505,445
1771,53498,107
294,51986,299
1696,53116,244
294,51986,260
524,52027,165
2603,54479,200
1318,52781,42
2650,54505,207
524,52027,531
2018,53800,534
1696,53116,220
2021,53475,595
1696,53116,445
2242,54153,454
2018,53800,568
2242,54153,253
1318,52781,620
849,52439,590
2603,54479,443
339,51692,457
1459,53117,225
1796,53884,283
2006,53476,623
2006,53476,618
2006,53476,628
294,51986,194
1796,53884,199
958,52410,415
294,51986,528
850,52338,248
2242,54153,588
850,52338,234
2617,54502,143
2016,53799,86
1696,53116,549
1459,53117,78
525,52295,329
1795,54507,457
602,52072,91
1461,53062,358
1772,53089,77
2618,54506,416
958,52410,525
1795,54507,106
2016,53799,61
2009,53904,546
1460,53138,197
1281,52753,569
2604,54484,232
1040,52722,476
2009,53904,70
340,51990,174
1773,53112,333
2093,53818,123
1375,53084,87
1773,53112,211
784,52327,253
2651,54507,448
602,52072,22
1797,54507,139
2604,54484,598
1798,53851,410
958,52410,606
2023,53851,192
1798,53851,559
2243,53794,585
526,52312,431
526,52312,410
526,52312,457
2002,53471,538
1461,53062,15
1667,53430,84
852,52375,349
2023,53851,531
526,52312,537
1041,52724,440
1041,52724,285
1667,53430,543
603,52056,260
2023,53851,612
1376,53089,94
341,51690,600
959,52411,192
1282,52759,45
1462,53112,64
910,52377,259
527,52342,229
1699,53148,331
2664,54524,39
2110,53467,440
910,52377,167
1801,54156,358
2653,54230,372
2641,54230,284
2641,54230,269
1042,52725,305
1464,53091,390
2110,53467,518
1774,53759,602
852,52375,625
960,52425,321
2110,53467,43
527,52342,33
2606,54154,44
1464,53091,415
1344,52792,487
2110,53467,14
2606,54154,581
912,52427,339
785,52339,46
960,52425,214
298,51955,577
1802,53885,192
1993,53762,142
1802,53885,491
2005,53472,441
1344,52792,91
298,51955,103
528,52022,522
1464,53091,550
2607,54184,477
1344,52792,615
1465,53082,240
1042,52725,499
497,51989,437
1042,52725,132
2607,54184,178
1669,53433,240
1700,53502,546
2101,53858,118
854,52373,335
1322,52791,389
1377,53050,358
2101,53858,496
299,51671,133
854,52373,398
529,52025,195
2005,53472,40
1284,52736,230
497,51989,179
1804,53886,238
2017,53474,180
2017,53474,168
299,51671,580
2246,53767,66
1377,53050,206
497,51989,466
913,52433,407
300,51943,272
1042,52725,609
604,52079,494
1701,53142,200
1158,52668,359
604,52079,90
1701,53142,131
2024,53503,237
913,52433,132
2024,53503,225
2033,53476,357
1776,53858,612
1776,53858,28
2094,53851,630
1377,53050,514
1377,53050,554
1804,53886,633
786,52319,150
1669,53433,63
2014,53460,440
2115,53535,265
300,51943,206
1465,53082,30
1345,52814,498
855,52375,251
855,52375,250
854,52373,621
2783,54524,397
2755,54507,65
2115,53535,556
497,51989,44
1778,53883,350
530,52026,575
1778,53883,283
2033,53476,104
2033,53476,512
2033,53476,57
1777,53857,612
2756,54508,228
1346,52822,278
2116,53854,520
1323,52797,443
1378,53061,208
2770,54510,433
2119,53792,479
1807,54175,282
2743,54259,576
1378,53061,158
1702,53144,597
2118,53820,564
1838,53467,410
531,52028,207
1285,52723,484
2116,53854,621
2743,54259,581
301,51942,505
301,51942,142
1378,53061,574
301,51942,545
2743,54259,26
1044,52468,368
1346,52822,86
2757,54509,462
856,52339,10
2784,54529,481
2122,54178,200
1346,52822,116
2122,54178,436
2120,53852,59
582,52045,384
1642,53115,454
2784,54529,535
1704,53178,389
2757,54509,152
1286,52725,384
2771,54527,419
2757,54509,534
582,52045,428
605,52353,120
1285,52723,39
2122,54178,46
2784,54529,10
606,52365,290
2745,54231,295
2123,53793,443
2121,54180,631
1467,53115,48
1324,53088,142
2124,53770,91
605,52353,568
1159,52669,65
2771,54527,71
2785,54537,499
2125,53795,432
1809,53792,602
2772,54529,231
1467,53115,637
1705,53848,133
532,51993,635
498,51984,105
1810,53794,439
2126,53794,496
1839,53471,511
2126,53794,85
2758,54523,14
1643,53143,532
583,52055,497
1672,53460,237
583,52055,527
1672,53460,363
1160,52674,171
1287,52728,296
1644,53144,349
1380,53084,510
789,52342,212
2130,53881,427
1826,53499,495
2746,54232,494
1811,53533,122
2746,54232,158
2129,54252,18
917,52400,55
2746,54232,150
1708,53503,400
499,51988,243
1673,53462,270
1045,52725,72
1381,53089,326
2787,54552,390
789,52342,507
2787,54552,171
1672,53460,619
584,52049,547
1811,53533,15
2773,54533,640
2134,53876,268
1841,53491,317
305,51613,550
2132,53493,155
2774,54534,430
585,52027,368
1381,53089,501
2788,54553,395
2131,53819,15
1288,52731,236
585,52027,214
2760,54506,639
1673,53462,108
1709,53533,230
1046,52460,170
2761,54534,250
1046,52460,125
1349,52797,185
2133,53917,43
1673,53462,598
499,51988,9
585,52027,607
536,52024,308
1046,52460,54
1841,53491,116
790,52441,145
1047,52733,355
2774,54534,38
586,52023,416
1842,53501,291
1645,53172,109
2137,54206,99
1162,52668,141
1813,53903,302
2137,54206,441
1813,53903,285
1396,53112,175
1645,53172,618
1711,53535,436
2137,54206,533
1162,52668,483
586,52023,89
607,52368,625
2789,54555,231
2947,54533,473
1813,53903,471
1162,52668,73
1289,52734,184
1350,52786,193
1829,53494,249
1289,52734,449
1397,53119,316
2142,54208,292
2776,54554,495
1350,52786,247
536,52024,30
1829,53494,464
608,52081,168
2748,54234,628
2763,54507,244
1842,53501,67
2144,53770,287
1350,52786,204
1383,53116,321
1675,53466,428
2144,53770,263
1397,53119,399
1397,53119,190
2142,54208,499
308,51662,523
609,52339,435
1383,53116,476
2143,54184,446
588,52045,354
1675,53466,62
308,51662,43
1290,52734,264
1675,53466,506
608,52081,1
1647,53531,225
1714,53521,408
2142,54208,637
2142,54208,621
608,52081,569
608,52081,65
1676,53147,255
1814,54555,125
1351,52790,424
2750,54242,86
2145,54212,467
1384,53121,291
1713,53827,19
611,52055,341
1814,54555,573
1351,52790,492
2146,54230,204
1164,52674,239
1290,52734,136
1843,53816,565
2145,54212,76
1676,53147,518
1048,52736,589
1351,52790,88
2791,54556,520
2778,54539,572
1164,52674,422
1351,52790,103
1164,52674,480
1398,53146,482
1844,54138,446
1831,54557,501
611,52055,201
1815,53884,156
2751,54243,575
539,52017,552
539,52017,586
589,52055,41
1816,53919,420
1165,52703,240
793,52370,127
2792,54556,89
1718,53850,490
2780,54557,275
922,52426,40
1165,52703,486
590,52057,176
1677,53148,88
1165,52703,202
1718,53850,79
540,51996,68
312,51689,330
1050,52721,458
2156,54525,193
1050,52721,500
2157,54242,195
311,51665,26
1677,53148,15
1834,54562,341
1818,54539,268
1649,53149,208
612,52079,519
1330,52822,568
1845,54144,39
1817,53851,35
1165,52703,629
613,52345,99
1051,52468,265
1846,54173,426
1050,52721,584
2158,54209,114
1846,54173,125
2160,53885,243
592,52025,376
613,52345,152
312,51689,639
2953,54560,240
1651,53442,373
1846,54173,28
2160,53885,444
1650,53174,545
1354,52814,466
1166,52751,202
