#Table1
redshift,h_beta_flux,ra,dec,plate,mjd,fiberID
0.1963692,356.9352,210.51982,29.663019,2122,54178,436
0.2972041,268.0277,210.49859,29.570246,2122,54178,200
0.176481,248.2047,198.5268,31.979088,2093,53818,123
0.2419603,375.6497,202.72198,31.325163,2110,53467,518
0.1965366,4131.215,208.95919,20.770705,2770,54510,433
0.2015326,351.5498,212.59207,20.248843,2771,54527,71
0.2431923,215.1753,227.50128,17.132663,2780,54557,275
0.1728526,657.3569,227.7667,3.2580817,590,52057,176
0.2393308,150.5186,211.03528,4.6895255,582,52045,428
0.126024,926.9399,230.41528,3.6247914,592,52025,376
0.253616,30.66834,210.71724,4.9924014,582,52045,384
0.2981969,62.52968,216.21805,4.7843149,584,52049,547
0.2971902,218.6221,198.28614,54.354315,1040,52722,476
0.2917909,178.4646,200.45029,54.13623,1041,52724,440
0.1619562,168.8464,217.84802,39.417062,1349,52797,185
0.1621236,2573.339,192.38219,52.510907,886,52381,396
0.2508286,15.71955,200.50446,51.710448,1667,53430,543
0.2581467,525.9301,221.39478,46.643204,1675,53466,428
0.2275464,210.1016,205.87458,28.055933,2017,53474,180
0.2114582,172.4877,205.95884,28.034967,2017,53474,168
0.2248143,346.2589,217.421,17.587633,2760,54506,639
