#Table1
plate,mjd,fiberID,sigma_balmer,sigma_forbidden
854,52373,398,500,500
854,52373,621,500,234.9107
1162,52668,73,311.0227,358.4756
1165,52703,486,500,500
1165,52703,629,308.4077,303.6936
1278,52735,96,414.4889,117.9253
1282,52759,45,500,254.5185
1284,52736,230,500,117.1538
1286,52725,384,260.6631,230.7143
1351,52790,492,500,253.5382
2018,53800,534,500,500
2021,53475,595,500,379.7352
2101,53858,496,500,500
2005,53472,40,500,130.0142
2017,53474,168,217.9823,141.0192
2017,53474,180,500,172.8793
499,51988,9,500,500
1459,53117,225,500,249.8311
1461,53062,15,500,294.1234
1467,53115,48,500,500
1699,53148,331,500,154.1239
1841,53491,116,394.1664,252.502
1844,54138,446,500,135.9876
1845,54144,39,484.3282,500
1846,54173,426,500,105.88
2129,54252,18,470.8956,398.1599
2133,53917,43,500,330.2495
2137,54206,533,326.0847,245.2245
2242,54153,454,317.8024,234.3816
2242,54153,588,500,106.3209
2606,54154,44,423.2038,184.0593
499,51988,9,500,500
1459,53117,225,500,249.8311
1461,53062,15,500,294.1234
1467,53115,48,500,500
1699,53148,331,500,154.1239
1841,53491,116,394.1664,252.502
1844,54138,446,500,135.9876
1845,54144,39,484.3282,500
1846,54173,426,500,105.88
2129,54252,18,470.8956,398.1599
2133,53917,43,500,330.2495
2137,54206,533,326.0847,245.2245
2242,54153,454,317.8024,234.3816
2242,54153,588,500,106.3209
2606,54154,44,423.2038,184.0593
298,51955,577,500,298.2031
308,51662,523,500,220.0661
524,52027,531,500,173.6785
525,52295,329,500,240.802
1349,52797,185,500,500
1813,53903,285,500,181.6224
1798,53851,559,500,153.2341
1813,53903,302,500,252.3317
1818,54539,268,500,281.4485
1987,53765,464,500,334.923
2006,53476,623,500,434.4845
2006,53476,628,500,177.9992
298,51955,577,500,298.2031
308,51662,523,500,220.0661
524,52027,531,500,173.6785
525,52295,329,500,240.802
1349,52797,185,500,500
1813,53903,285,500,181.6224
1798,53851,559,500,153.2341
1813,53903,302,500,252.3317
1818,54539,268,500,281.4485
1987,53765,464,500,334.923
2006,53476,623,500,434.4845
2006,53476,628,500,177.9992
499,51988,243,500,209.2896
607,52368,625,500,500
608,52081,569,500,500
1289,52734,184,500,500
1696,53116,445,500,161.3738
1770,53171,58,500,380.3177
1771,53498,107,500,195.172
1773,53112,211,306.1696,200.3235
2773,54533,640,500,500
2774,54534,430,500,410.3889
2776,54554,495,184.6819,160.6553
2783,54524,397,500,500
2787,54552,171,500,346.6194
2788,54553,395,500,500
499,51988,243,500,209.2896
607,52368,625,500,500
608,52081,569,500,500
1289,52734,184,500,500
1696,53116,445,500,161.3738
1770,53171,58,500,380.3177
1771,53498,107,500,195.172
1773,53112,211,306.1696,200.3235
2773,54533,640,500,500
2774,54534,430,500,410.3889
2776,54554,495,184.6819,160.6553
2783,54524,397,500,500
2787,54552,171,500,346.6194
2788,54553,395,500,500
2122,54178,46,500,175.3371
495,51988,333,500,254.4396
497,51989,466,500,144.4898
1317,52765,98,427.9429,500
1649,53149,208,500,167.9779
2014,53460,440,486.7137,474.5009
2651,54507,448,248.0074,244.9188
2653,54230,372,500,402.608
2122,54178,46,500,175.3371
495,51988,333,500,254.4396
497,51989,466,500,144.4898
1317,52765,98,427.9429,500
1649,53149,208,500,167.9779
2014,53460,440,486.7137,474.5009
2651,54507,448,248.0074,244.9188
2653,54230,372,500,402.608
910,52377,259,500,500
1046,52460,54,290.5768,282.5554
1046,52460,125,500,191.5552
1324,53088,142,389.5839,500
1381,53089,501,500,171.7737
1383,53116,321,500,397.9576
1464,53091,415,500,500
1380,53084,510,500,491.4838
2009,53904,546,500,500
2158,54209,114,500,500
910,52377,259,500,500
1046,52460,54,290.5768,282.5554
1046,52460,125,500,191.5552
1324,53088,142,389.5839,500
1381,53089,501,500,171.7737
1383,53116,321,500,397.9576
1464,53091,415,500,500
1380,53084,510,500,491.4838
2009,53904,546,500,500
2158,54209,114,500,500
312,51689,330,500,500
540,51996,68,500,500
2953,54560,240,332.4081,198.2298
1794,54504,190,500,437.6909
1794,54504,331,500,500
1795,54507,106,500,500
1841,53491,317,500,500
1984,53433,609,500,291.3802
1842,53501,67,500,500
2023,53851,531,500,413.849
2760,54506,639,500,500
312,51689,330,500,500
540,51996,68,500,500
2953,54560,240,332.4081,198.2298
1794,54504,190,500,437.6909
1794,54504,331,500,500
1795,54507,106,500,500
1841,53491,317,500,500
1984,53433,609,500,291.3802
1842,53501,67,500,500
2023,53851,531,500,413.849
2760,54506,639,500,500
1330,52822,568,500,420.942
1377,53050,206,500,500
1771,53498,100,500,500
2757,54509,534,500,143.5068
613,52345,152,500,500
1330,52822,568,500,420.942
1377,53050,206,500,500
1771,53498,100,500,500
2757,54509,534,500,143.5068
613,52345,152,500,500
497,51989,179,500,191.2524
497,51989,44,500,159.3814
602,52072,91,325.9864,203.0737
608,52081,1,181.8134,200.8113
608,52081,168,500,184.356
604,52079,494,500,170.6721
1042,52725,305,500,302.5806
1287,52728,296,500,500
1675,53466,506,500,336.5966
2118,53820,564,500,500
2123,53793,443,500,248.196
2143,54184,446,500,500
2772,54529,231,500,295.615
497,51989,179,500,191.2524
497,51989,44,500,159.3814
602,52072,91,325.9864,203.0737
608,52081,1,181.8134,200.8113
608,52081,168,500,184.356
604,52079,494,500,170.6721
1042,52725,305,500,302.5806
1287,52728,296,500,500
1675,53466,506,500,336.5966
2118,53820,564,500,500
2123,53793,443,500,248.196
2143,54184,446,500,500
2772,54529,231,500,295.615
608,52081,65,500,500
1164,52674,239,500,328.5095
1165,52703,240,500,236.8596
1166,52751,202,500,182.7428
1051,52468,265,500,176.3487
1281,52753,569,311.9697,210.5178
1288,52731,236,500,168.1549
1290,52734,136,500,148.6181
1460,53138,197,500,319.6923
1378,53061,208,500,500
2603,54479,443,348.9817,277.9825
2661,54505,550,500,239.4318
2662,54505,445,500,207.7973
608,52081,65,500,500
1164,52674,239,500,328.5095
1165,52703,240,500,236.8596
1166,52751,202,500,182.7428
1051,52468,265,500,176.3487
1281,52753,569,311.9697,210.5178
1288,52731,236,500,168.1549
1290,52734,136,500,148.6181
1460,53138,197,500,319.6923
1378,53061,208,500,500
2603,54479,443,348.9817,277.9825
2661,54505,550,500,239.4318
2662,54505,445,500,207.7973
789,52342,507,500,248.3197
1318,52781,242,500,268.8937
1843,53816,565,500,500
1993,53762,142,500,500
2016,53799,86,500,205.8613
2023,53851,192,500,500
2239,53726,239,500,500
2791,54556,520,500,436.8527
522,52024,408,500,188.6226
847,52426,558,500,297.7475
1790,53876,472,163.048,220.2695
