#Table1
plate,mjd,fiberID,sigma_balmer,sigma_forbidden
1346,52822,278,500,177.5622
1350,52786,193,500,500
1459,53117,78,500,223.4433
1346,52822,116,329.2333,173.2514
1384,53121,291,500,138.8288
1643,53143,532,500,267.0274
2774,54534,38,500,256.1715
526,52312,457,500,251.2986
305,51613,550,500,206.2327
526,52312,410,168.6607,300.381
526,52312,537,500,280.0885
1346,52822,278,500,177.5622
1350,52786,193,500,500
1459,53117,78,500,223.4433
1346,52822,116,329.2333,173.2514
1384,53121,291,500,138.8288
1643,53143,532,500,267.0274
2774,54534,38,500,256.1715
312,51689,639,500,439.9984
526,52312,431,334.7056,282.2706
532,51993,635,229.7121,261.3456
539,52017,552,173.896,240.5335
539,52017,586,500,500
1350,52786,204,500,267.4255
1811,53533,122,500,500
1826,53499,495,247.9781,224.9799
2115,53535,265,500,500
2160,53885,243,500,500
2770,54510,433,500,500
2771,54527,71,500,253.8604
2780,54557,275,500,230.3924
312,51689,639,500,439.9984
526,52312,431,334.7056,282.2706
532,51993,635,229.7121,261.3456
539,52017,552,173.896,240.5335
539,52017,586,500,500
1350,52786,204,500,267.4255
1811,53533,122,500,500
1826,53499,495,247.9781,224.9799
2115,53535,265,500,500
2160,53885,243,500,500
2770,54510,433,500,500
2771,54527,71,500,253.8604
2780,54557,275,500,230.3924
