,object_name,lc_1,lc_2,lag_peak,lag_lowerr,lag_uperr,r_peak
0,art,x_y_bands_43,final,-8888,-8888,-8888,-8888
1,art,x_y_bands_44,final,-8888,-8888,-8888,-8888
2,art,x_y_bands_45,final,-8888,-8888,-8888,-8888
