#Table1
specobjid,plate,mjd,fiberID,subclass,z,oiii_5007_flux,oiii_5007_flux_err,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,w1,w2,w3
2067246588706711552,1836,54567,343,,0.03298461,53.40701,5.925193,125.3575,8.02062,26.0278,4.925655,159.3333,8.517857,11.565,11.569,8.788
1489621149015894016,1323,52797,202,STARFORMING,0.01533076,156.7305,11.53851,2021.783,26.88918,369.9953,11.59493,1403.095,22.87877,10.548,10.478,7.114
2519924865637574656,2238,54205,585,BROADLINE,0.02138534,43.11588,6.266128,268.8489,8.867924,68.57541,5.681754,175.2826,9.099772,11.366,11.424,9.928
2508596865721722880,2228,53818,334,AGN,0.02499844,9336.208,69.15946,4811.205,43.74594,1166.072,17.06697,4796.921,39.40855,10.417,9.718,6.184
2232682113004496896,1983,53442,82,STARFORMING,0.006129883,1355.455,19.13052,2749.054,25.41222,811.5004,12.39781,568.36,10.35114,11.694,11.579,7.919
532572678532392960,473,51929,80,BROADLINE,0.02602712,48.20422,4.203691,109.5187,4.742746,42.46762,3.857178,117.0291,4.98629,12.175,12.211,10.506
932346866564098048,828,52317,370,STARFORMING BROADLINE,0.02365401,166.8517,12.13291,1267.261,22.3632,283.0674,11.3897,1082.414,21.7666,10.889,10.839,8.13
2551430812750866432,2266,53679,515,STARFORMING,0.01612742,32.74794,3.042143,276.1074,4.341999,66.30264,2.643072,184.4022,4.166297,12.287,12.319,9.176
852339802131949568,757,52238,122,STARFORMING,0.01746773,76.21757,6.778818,3564.034,28.46706,581.3502,8.841527,2264.24,18.42705,10.898,10.703,6.672
519204266087311360,461,51910,598,BROADLINE,0.01752557,100.5197,9.937743,164.519,13.9431,82.61692,9.86493,145.2044,12.98307,11.084,11.149,10.545
443765948722210816,394,51913,587,BROADLINE,0.04204116,54.77234,3.108995,73.46342,3.674497,20.45427,2.615618,90.33938,3.752074,12.168,12.141,10.471
2571600804293142528,2284,53708,165,BROADLINE,0.01048811,462.0355,16.38534,350.5398,18.81114,114.9231,14.64674,386.3233,18.88319,10.823,10.898,10.335
2179902529335224320,1936,53330,583,AGN BROADLINE,0.02285773,124.6991,10.05816,854.4304,20.11884,148.1255,9.36533,658.5085,18.8017,10.248,10.161,7.412
2671852626252949504,2373,53768,335,BROADLINE,0.01266077,163.1914,13.18633,331.9119,20.33339,90.46081,11.19121,374.1367,20.59841,10.443,10.512,9.064
313129123717343232,278,51900,469,STARBURST,0.01290247,6074.062,54.65727,10285.94,80.75294,3250.791,29.74171,1743.394,16.68957,12.887,12.72,8.846
2501900289833986048,2222,53799,548,BROADLINE,0.02098018,103.2692,8.554826,260.2286,11.23941,71.25346,6.740085,366.5516,13.13887,10.501,10.448,7.194
335574280131602432,298,51955,204,AGN BROADLINE,0.01234626,278.6271,12.4354,859.0906,19.31125,203.4313,10.73586,1349.898,22.09232,10.179,10.193,8.266
2027865373839222784,1801,54156,435,AGN BROADLINE,0.02337721,169.8599,8.53529,709.0253,14.57459,179.9334,8.174543,602.337,14.05704,10.773,10.823,9.236
2032266989048719360,1805,53875,64,STARBURST,0.02403254,1246.71,14.21406,5743.216,38.52542,1490.277,13.94163,1624.921,13.66968,12.102,11.894,7.672
591140095671691264,525,52295,155,BROADLINE,0.03017479,110.3093,9.077731,519.777,11.51987,111.0155,6.749979,493.024,12.38443,11.777,11.712,8.959
551806160559171584,490,51929,419,BROADLINE,0.04072253,58.78199,3.961234,156.3383,5.816917,49.96962,3.979652,99.56056,4.930446,12.701,12.737,12.068
1611210370767153152,1431,52992,173,STARBURST,0.01237455,8673.417,57.16248,12234.37,73.41251,3394.213,25.27593,1269.856,11.34825,12.392,12.203,8.215
1961444682533726208,1742,53053,462,STARBURST,0.02278803,360.2298,8.372718,4102.184,32.12367,1132.099,13.57116,1350.743,13.25937,12.456,12.306,8.279
1351143154891384832,1200,52668,230,BROADLINE,0.0413512,77.6571,6.420899,293.4192,8.827817,60.9954,5.441838,296.3216,8.994952,11.575,11.561,8.932
621633396317120512,552,51992,497,STARFORMING,0.02864002,70.0569,2.962384,923.4749,6.917922,236.4291,3.474313,402.5594,4.552309,11.824,11.737,7.972
1875771560090953728,1666,52991,81,STARBURST,0.05205443,110.6979,4.200375,2933.444,16.13248,658.7897,6.298617,1293.396,8.086383,12.672,12.444,8.344
609276809212618752,541,51959,600,STARBURST,0.06441011,537.8494,4.097365,1508.548,7.87278,417.3955,3.177489,311.7314,2.304628,14.06,13.855,9.867
872685166248617984,775,52295,410,STARBURST,0.01082554,1267.279,16.21635,5745.364,47.17968,1461.345,15.67808,1467.125,14.2294,12.493,12.303,8.317
2402770246910896128,2134,53876,363,STARFORMING BROADLINE,0.01398626,157.666,9.09106,860.988,14.87995,232.2401,8.178154,537.3231,13.58105,11.256,11.289,8.611
2191148610853300224,1946,53432,536,STARFORMING,0.005096612,1515.987,20.63433,1567.432,21.48231,435.0816,10.38026,552.7787,13.55123,11.468,11.488,8.877
2103338861567436800,1868,53318,574,AGN,0.02438867,2297.143,19.0742,1482.961,15.72347,347.0775,7.745147,1050.356,12.6205,11.63,11.399,8.44
393066914219321344,349,51699,465,STARFORMING,0.02192152,150.873,2.855905,992.0758,5.739892,222.1254,2.835821,411.0791,3.612895,11.839,11.752,7.888
1883801301410670592,1673,53462,621,BROADLINE,0.02689073,71.1114,5.540777,174.4296,7.777681,48.75182,5.268108,157.8564,7.32542,11.513,11.58,9.137
1997391028025321472,1774,53759,162,STARFORMING BROADLINE,0.0221043,101.4318,9.75652,1088.59,20.17524,263.4741,10.06093,641.1528,17.83616,10.627,10.655,8.141
323291087122753536,287,52023,574,STARFORMING,0.02045906,57.48952,3.70389,703.2859,6.972041,157.6204,3.868268,304.1326,5.363633,11.435,11.423,8.015
673306325089806336,598,52316,66,STARBURST,0.005004815,3080.588,32.81079,13448.1,100.0445,3205.989,30.99526,3111.568,27.84476,11.07,10.717,6.469
2989363278909564928,2655,54184,360,AGN BROADLINE,0.01485382,138.9392,10.05991,493.7185,15.77748,134.2236,8.895057,450.2533,15.65455,11.008,11.052,9.411
2260967599904942080,2008,53473,584,,0.02145094,77.06445,9.108285,205.0261,12.20563,88.41161,8.519684,129.2893,11.70129,11.483,11.593,11.19
1982799127909525504,1761,53376,325,STARFORMING,0.01075691,437.3204,10.20458,4913.259,37.30189,1002.564,12.40361,2648.526,22.06172,10.551,10.403,6.751
940162195365324800,835,52326,130,BROADLINE,0.02951742,121.3114,10.09718,214.6009,13.96183,56.37286,9.20574,436.0734,14.77463,11.109,11.118,8.994
1611297232185747456,1431,52992,489,BROADLINE,0.02371841,97.31697,7.192484,183.9465,9.966138,41.84649,5.972548,299.4511,10.96915,11.149,11.168,9.695
2740479744985294848,2434,53826,143,BROADLINE,0.0280566,66.21374,8.13273,245.9077,11.97151,45.63389,6.952193,262.6497,12.20092,10.882,10.838,8.586
2968034675764783104,2636,54082,591,AGN,0.02305673,348.8553,3.58433,356.2196,3.748603,93.16865,2.299038,398.4602,3.813112,12.117,12.127,9.688
518071769345583104,460,51924,574,BROADLINE,0.01890633,57.34115,7.618148,170.1282,11.05104,49.74249,6.636849,180.5769,12.12375,10.39,10.354,8.025
1086577288767629312,965,52438,305,,0.00702235,93.63377,11.48885,1794.495,27.50607,222.4413,9.992073,1201.184,24.13927,9.681,9.507,5.862
2508554259646146560,2228,53818,179,,0.01237441,219.0955,21.36355,227.23,26.99608,126.6017,18.26703,252.9011,24.04265,10.589,10.654,9.968
595709936344786944,529,52025,396,BROADLINE,0.02305681,78.77563,7.787792,166.2006,10.92536,59.15803,6.969028,225.5064,11.74542,10.836,10.916,9.566
