          specobjid         ra        dec
2979281311987951616 186.747820  22.639583
 480904427633403904  30.957469  14.739165
 481988545813178368  32.104096  14.349565
 482008611900385280  32.878224  14.300530
 482017682871314432  32.889832  13.917156
 482035000179451904  33.295506  14.018075
 483026483732834304  27.308494  13.055325
 483071013953759232  26.746457  13.125112
 483129837825845248  26.390590  14.025961
 486414629887567872 115.163710  39.233311
 712808475364714496 254.711220  40.121161
 713886547941812224 309.458220  -6.090794
 715056702872905728 311.310820  -5.484300
 715116626256619520 313.147650  -5.711123
 960535596877506560 204.050760   4.740090
 961528730738518016 207.411620   4.238293
 961617241424553984 205.000620   4.677525
 961652150918735872 206.103680   5.125342
 962795368167270400 208.360650   5.207784
1918634924525512704 210.642530  14.552544
1920916965338146816 213.670510  13.378171
2161793022801504256 117.239530  17.577108
2161893353237538816 119.247200  18.586616
2967885142183405568  36.527971  -0.331918
2967889815107823616  36.272778  -0.604068
2967917302898518016  35.385633  -0.307843
2967960458729908224  34.748518   0.329985
2968028903328737280  36.964337   0.501547
3161608927930509312 255.223290  27.724662
3161664453267712000 255.479040  28.417763
 439203799882557440   4.947213   0.590795
 439212870853486592   5.107424   0.826350
 439272794237200384   6.704384   0.038120
 441494905441773568   9.399220   0.280685
 443609543193159680  13.787350  -1.046468
 443611192460601344  14.072866  -0.369701
 443617239774554112  13.427716  -1.085167
 443619163919902720  13.566362  -1.239305
 443653248780363776  13.218389  -0.074382
 443654623169898496  12.998433  -0.486738
 443670291210594304  12.768132  -0.134582
 443686783885010944  12.039979  -0.912315
 683536182147049472 217.054230  61.187713
 683588683827275776 220.772120  61.310711
 940162195365324800 168.748500   3.602091
1783434297907111936 123.320630  22.648304
1961444682533726208 145.462320  12.183763
2232682113004496896 164.942830  33.391844
2232732965417281536 163.283790  33.910365
2233797567399880704 189.315420  39.483146
2517522699622836224 191.320310  27.125218
2519789075951544320 191.730880  26.564287
2519825084957353984 191.321910  27.125597
2519876762003859456 191.397310  28.761906
2519924865637574656 192.616990  27.434908
2519928164172457984 192.932440  27.962840
2520894351979079680 193.669240  28.938672
2788978931900901376 160.546060  23.746736
2790041335665551360 160.774930  20.422283
