        ra        dec
160.003040   0.691729
160.143710   0.817401
160.212780   0.804789
160.260690   0.828776
160.262740   0.641529
160.292290   0.668458
160.498050   0.694165
160.533440   0.802061
161.080930   0.677349
161.323470   0.669793
161.449030   0.754443
161.518090   0.799426
161.588490   0.818096
161.830080   0.769526
162.441400   0.663877
162.490330   0.700829
162.636530   0.753348
152.476850   1.198152
152.872150   1.252185
153.171810   1.194113
153.892200   1.093810
154.180870   1.094706
154.266750   1.056135
154.308940   1.162146
154.324620   1.115770
154.531660   1.212493
154.825190   1.142656
155.048980   1.155272
155.069670   1.204052
155.430420   1.241226
155.692650   1.213803
156.066500   1.236379
156.274730   1.200574
156.401610   1.190057
156.448950   1.242738
157.375360   1.060027
157.300710   1.113903
157.578320   1.247247
157.953780   1.122953
158.055750   1.228387
158.388110   1.109768
158.484600   1.129008
158.918460   1.145658
158.982780   1.156571
159.051170   1.103463
159.109460   1.177894
159.155590   1.078355
159.184630   1.182596
159.230120   1.092614
159.310670   1.109974
159.337480   1.115548
159.348990   1.126008
159.378390   1.071874
159.604060   1.113883
159.803920   1.226904
159.807800   1.258306
159.897340   1.137104
159.966230   1.135959
160.028840   1.251830
160.058780   1.057217
160.126630   1.126834
160.335390   1.060126
160.344530   1.256167
160.457190   1.236922
160.554390   1.193614
160.564680   1.085651
160.590980   1.188501
160.551320   1.222869
160.818030   1.210310
160.873240   1.237465
161.119110   1.083038
161.409450   1.183178
161.478240   1.068288
161.931650   1.094974
162.459350   1.204653
165.554230  64.990247
171.332520  65.650991
174.933480  65.926244
178.312470  66.110484
186.088420  66.251278
188.332330  66.216934
195.255330  65.910122
163.542030  64.839464
164.095850  64.874396
164.931540  65.068441
166.758990  65.271283
167.016810  65.320862
168.869920  65.532303
169.260420  65.567061
169.101740  65.450919
169.350720  65.595183
169.583320  65.509834
171.102460  65.662703
171.062370  65.758611
172.512950  65.941434
172.616170  65.919065
173.336120  65.924313
175.650100  66.000296
175.867570  66.124253
177.527340  66.182881
177.760350  66.130464
177.795480  66.161411
180.941000  66.347938
181.032700  66.242757
182.091360  66.318324
182.668660  66.411612
182.764040  66.417332
186.068740  66.398149
186.124750  66.410811
186.218570  66.385650
186.294280  66.424375
186.916640  66.284068
187.151890  66.300160
187.216760  66.246669
187.904050  66.425157
187.909640  66.376586
188.048940  66.389410
188.754060  66.385096
189.155890  66.393307
189.350180  66.306039
189.608440  66.314527
189.835620  66.370571
191.901590  66.224505
191.813560  66.137219
193.169680  66.171138
