specobjid,plate,mjd,fiberID,ra,dec,class,subclass,z,oiii_5007_flux,oiii_5007_flux_err,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,nii_6584_reqw,nii_6584_reqw_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,oi_6300_flux,oi_6300_flux_err,h_alpha_reqw,h_alpha_reqw_err,neiii_3869_flux,neiii_3869_flux_err,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,psfMag_g,psfMagErr_g,psfMag_z,psfMagErr_z,nii_h_alpha,nii_h_alpha_log,oiii_h_beta,oiii_h_beta_log,sii6717_h_alpha,sii6717_h_alpha_log,sii6731_h_alpha,sii6731_h_alpha_log,oi_h_alpha,oi_h_alpha_log,BPT Kauffman,BPT Kewley,BPT final,sii_h_alpha,sii_h_alpha_log,h_alpha_reqw_log,h_alpha_reqw_abs,nii_6584_reqw_log,nii_6584_reqw_abs,WHAN label,neiii_oii,neiii_oii_log,g_z_color,g_z_color_zkcorr,g_z_color_gkcorr,TBT label,z_kcorr,g_kcorr,g_z_color_kcorr
342429735164340224,304,51957,568,215.50076,1.0370288,GALAXY,STARBURST,0.1331504,2127.2,15.36411,1950.538,13.34402,531.4561,5.784992,118.4563,2.338228,-21.94578,0.5624457,173.1654,4.991102,139.1827,4.091561,52.19881,1.892721,-337.5741,2.367274,151.2908,4.647333,569.2057,9.807656,699.0507,10.60819,19.14809,0.02459718,18.82182,0.04849795,0.06073006524353793,-1.2165962523058362,4.002588360543796,0.6023409281173863,0.0887782755321865,-1.0516932951535145,0.07135605663668178,-1.1465691584672713,0.0267612371561077,-1.57249381326403,Star Forming,Star Forming,Star Forming,0.1601343321688683,-0.7955155470749204,,337.5741,,21.94578,Star Forming,0.1192903895458363,-0.9233945432142688,0.32627000000000095,-0.07402802104578983,-0.00277287078238813,Star Forming,-0.07402802104578983,-0.00277287078238813,0.25501484973659927
342433852494473216,304,51609,583,215.50076,1.0370288,GALAXY,STARBURST,0.1331098,2112.469,15.80316,1998.911,14.32302,544.6428,5.869106,129.3852,2.586502,-24.81974,0.6199843,181.647,5.084612,146.4434,4.325997,51.67052,1.91627,-350.3343,2.562946,151.7534,4.572918,551.244,9.664352,697.3932,10.3639,19.14809,0.02459718,18.82182,0.04849795,0.06472784431122747,-1.188908856435307,3.8786320134958183,0.5886785777209205,0.09087298033779392,-1.0415652282693402,0.07326159093626479,-1.1351236545038697,0.025849334962887292,-1.58755062570983,Star Forming,Star Forming,Star Forming,0.16413457127405873,-0.7847999348990607,,350.3343,,24.81974,Star Forming,0.12153522256104494,-0.9152978393738829,0.32627000000000095,-0.07399541722162477,-0.002797811403254857,Star Forming,-0.07399541722162477,-0.002797811403254857,0.255072394181631
343508075421919232,305,51613,395,215.82714,1.015702,GALAXY,STARBURST,0.04021256,285.5558,3.647216,619.8182,5.416368,150.7964,2.485615,91.21113,1.688666,-10.23538,0.2808493,108.1847,1.995472,76.99271,1.809413,22.70239,1.528432,-68.37829,0.6514391,19.18881,2.352714,192.3137,4.822582,196.6312,4.857922,19.05571,0.2119177,18.22374,0.03780948,0.14715787629340343,-0.8322164883097284,1.893651307325639,0.2773000120241834,0.17454263201693657,-0.7580984793730022,0.12421821430864727,-0.9058147182193929,0.036627498192211845,-1.436192744410073,Star Forming,Star Forming,Star Forming,0.29876084632558386,-0.5246763189681805,,68.37829,,10.23538,Star Forming,0.049335548557134956,-1.3068400385569867,0.8319700000000019,0.0010984930750553464,0.04194303884379615,Star Forming,0.0010984930750553464,0.04194303884379615,0.7911254542312611
561912597553637376,499,51988,322,215.41156,65.066038,GALAXY,STARBURST,0.197134,500.7171,3.893484,722.9518,6.000888,201.1547,3.131633,201.4626,2.572504,-58.21188,0.9183379,73.75469,1.808653,58.00716,2.018678,17.03446,1.220417,-197.8814,1.633288,35.72965,1.911772,215.7683,3.867554,182.5743,3.755922,19.65342,0.01833414,19.1681,0.05451698,0.278666710560787,-0.5549149088728491,2.4892140228391386,0.3960622388914561,0.10201882061847,-0.9913197014071761,0.08023655242299693,-1.0956277402049224,0.023562373037870572,-1.6277809725711196,AGN,Star Forming,Composite,0.18225537304146694,-0.7393196594551824,,197.8814,,58.21188,Star Forming,0.08969577946220163,-1.0472279917318243,0.48532000000000153,-0.1303421985446429,0.007997427281067008,Star Forming,-0.1303421985446429,0.007997427281067008,0.3469803741742916
561997534826883072,499,51988,631,219.57737,64.171504,GALAXY,STARFORMING,0.0362196,82.91879,3.494995,1175.248,8.805973,208.6162,3.639068,627.2878,6.179589,-12.1511,0.1410411,272.0623,5.021887,213.5943,4.825258,53.23195,3.629897,-20.56658,0.177115,25.72667,4.020921,235.9206,7.597287,141.869,7.180219,17.93582,0.02123593,16.35124,0.02536249,0.533749302274924,-0.272662679682795,0.3974705224234743,-0.40069507436229895,0.23149352306917348,-0.6354611555517218,0.18174402338910595,-0.7405398619094159,0.04529422726096959,-1.3439571451938404,AGN,Star Forming,Composite,0.4132375464582794,-0.38380022568378735,,20.56658,,12.1511,Seyfert,0.06809787776053125,-1.1668664224668364,1.584579999999999,0.015872369964528624,0.08150325441288743,AGN,0.015872369964528624,0.08150325441288743,1.5189491155516401
577703233812719616,513,51989,424,173.32902,2.5506163,GALAXY,AGN,0.103164,339.3566,3.952793,179.1431,3.63018,46.0389,2.430785,136.3855,2.482149,-12.89138,0.281752,49.62997,2.16752,42.5858,2.120106,19.67963,2.307393,-15.06216,0.3307784,26.2158,2.78886,45.69803,4.438498,40.12666,4.103011,19.5239,0.01868762,17.95565,0.02744003,0.7613215356885082,-0.11843188503868764,7.371084018080363,0.8675313614616789,0.2770409242666896,-0.5574560725586046,0.23771945444731055,-0.6239352750939328,0.1098542450141814,-0.9591831563072946,AGN,AGN,AGN,0.5147603787140002,-0.2883948882790822,,15.06216,,12.89138,Seyfert,0.30545755539577246,-0.5150491282628222,1.5682500000000026,0.017445116498714445,0.22203862811135724,AGN,0.017445116498714445,0.22203862811135724,1.3636564883873599
577751612324341760,513,51989,600,174.6696,2.5488368,GALAXY,STARBURST,0.1058472,412.829,4.255672,626.6406,4.613607,184.8512,2.671456,118.7884,2.220262,-37.47143,0.8072232,61.01028,1.521676,51.26147,1.401961,9.709761,1.109375,-163.0766,1.287331,24.07445,2.337692,231.9367,4.501126,239.5055,4.651931,19.72001,0.02009221,19.25727,0.07180212,0.1895638424960017,-0.722244496649694,2.2333044091680225,0.3489479233453137,0.0973608795855232,-1.0116155112219773,0.08180362076762981,-1.0872274732895442,0.015494943991819237,-1.8098099892270736,Star Forming,Star Forming,Star Forming,0.179164500353153,-0.7467480372410028,,163.0766,,37.47143,Star Forming,0.05106553889320896,-1.2918720806345243,0.46274000000000015,-0.05248097598982746,-0.03016847994140259,Star Forming,-0.05248097598982746,-0.03016847994140259,0.44042750395157526
579847282527070208,515,52051,32,179.90623,2.5417838,GALAXY,,0.1043814,487.3275,6.157566,468.7646,5.938413,154.4025,3.420885,38.97355,2.107361,-10.03217,0.6060097,52.67638,1.904538,35.58025,1.837995,15.75879,1.571078,-106.7046,1.149772,40.96824,3.760684,192.6258,6.701918,240.1759,6.673468,19.0281,0.0209401,18.73568,0.0526314,0.08314098376882556,-1.0801848409935675,3.1562150871909456,0.4991665914946795,0.1123727772958965,-0.9493388854048662,0.07590216923376894,-1.1197458120782537,0.033617704920550745,-1.4734319391524455,Star Forming,Star Forming,Star Forming,0.18827494652966542,-0.7252074670668104,,106.7046,,10.03217,Star Forming,0.09465822338498209,-1.0238416509491512,0.2924199999999999,-0.05010844869294994,0.0013975752294156497,Star Forming,-0.05010844869294994,0.0013975752294156497,0.24091397607763432
575485254836447232,511,52636,547,170.6921,2.9712935,GALAXY,STARBURST,0.05039179,277.9145,4.63762,723.9423,7.608829,203.7332,3.77531,134.5183,2.699275,-13.88412,0.3918338,136.5487,2.809348,100.6593,2.471526,20.8275,1.767495,-69.89732,0.7994754,20.78625,3.679222,257.7429,7.462901,318.9042,7.940563,19.08483,0.02168272,18.45111,0.03279287,0.18581356552863398,-0.7309225830271499,1.364110022323313,0.13484939976394728,0.18861820893736972,-0.7244163833945912,0.139043263530809,-0.8568500473051586,0.028769558015880548,-1.5410668100852953,Star Forming,Star Forming,Star Forming,0.3276614724681787,-0.48457462141332863,,69.89732,,13.88412,Star Forming,0.03604674332013462,-1.4431339659510363,0.6337200000000003,-0.00815095375138909,0.02284111351206535,Star Forming,-0.00815095375138909,0.02284111351206535,0.6027279327365458
576552869822490624,512,51992,335,171.12515,2.984207,GALAXY,STARBURST,0.03351888,1160.198,13.70638,1723.995,14.90419,522.2233,7.572022,208.1557,4.36321,-5.798403,0.1754372,269.2626,5.2478,195.5095,4.64423,58.55244,3.57873,-44.74427,0.4339667,102.6573,7.205853,901.8484,16.64956,918.6635,17.34609,17.30944,0.01509096,17.24541,0.02371658,0.12074031537214436,-0.9181476941094867,2.221651159571011,0.34667586767106595,0.15618525575770234,-0.8063599669075358,0.11340491126714405,-0.9453681368890273,0.033963230751829325,-1.468991004206797,Star Forming,Star Forming,Star Forming,0.2695901670248464,-0.5692959522136017,,44.74427,,5.798403,Star Forming,0.0563892496390713,-1.2488036844465635,0.06402999999999892,-0.0013829149256812134,0.045181137672121514,Star Forming,-0.0013829149256812134,0.045181137672121514,0.017465947402196196
576573485665511424,512,51992,410,171.99921,3.0205594,GALAXY,STARBURST,0.04963014,760.7967,9.341636,2113.762,16.86362,607.7752,7.245136,423.6633,5.338992,-16.14462,0.2519372,392.2079,5.584846,280.5187,4.73566,62.06431,2.9136,-74.92132,0.6543047,66.82304,4.884994,872.5453,14.28683,995.9176,15.77662,18.11782,0.02316134,17.34641,0.02101349,0.20043093782554514,-0.6980352414380955,1.251773188507856,0.09752564524588418,0.18554969764807958,-0.7315397489944092,0.13271063629680163,-0.8770942685455565,0.029362014266506822,-1.5322141546543762,Star Forming,Star Forming,Star Forming,0.3182603339448812,-0.49721748586008896,,74.92132,,16.14462,Star Forming,0.035763642938802805,-1.4465582497296081,0.7714099999999995,-0.004141848131399512,0.03543370677464882,Star Forming,-0.004141848131399512,0.03543370677464882,0.7318344450939511
576607845403879424,512,51992,535,172.43462,2.9940536,GALAXY,STARBURST,0.06955018,547.4029,6.833456,1342.068,10.93605,343.3159,5.120477,249.79,3.357463,-23.39855,0.404282,241.5374,3.752441,177.319,3.303925,52.35144,2.154805,-123.2941,1.071912,38.3513,4.454062,480.5037,10.67177,543.9211,11.08434,18.88597,0.02854003,18.2679,0.04323983,0.18612320687178294,-0.7301994732528837,1.59445833997202,0.20261317647541638,0.17997404006354373,-0.7447901341757435,0.13212370759156764,-0.8790192478479665,0.03900803834082923,-1.4088458891953672,Star Forming,Star Forming,Star Forming,0.31209774765511133,-0.5057093655368017,,123.2941,,23.39855,Star Forming,0.03743691093772818,-1.4266999937492666,0.6180699999999995,-0.02036766363153038,0.0072059956172621665,Star Forming,-0.02036766363153038,0.0072059956172621665,0.5904963407512069
577690589429000192,513,51989,378,173.69272,2.9210337,GALAXY,STARBURST,0.02875262,582.5078,7.232353,5056.438,26.81072,1376.924,10.50892,2650.44,13.57479,-47.0591,0.2954302,630.6511,7.140937,566.271,6.849336,81.82576,4.132649,-88.91124,0.489075,75.99048,6.584607,614.5482,14.22992,458.4642,13.37605,17.1208,0.01467092,16.35344,0.01270995,0.524171363319396,-0.2805267092423071,0.42305007393291133,-0.3736082247155537,0.12472240339938906,-0.9040555288885255,0.11199010054113191,-0.9508203654581566,0.016182490520006376,-1.790954638727466,AGN,Star Forming,Composite,0.23671250394052096,-0.6257788005882722,,88.91124,,47.0591,Seyfert,0.07081975939886621,-1.1498455530357197,0.76736,0.0025740032467125805,0.03368935347383378,Star Forming,0.0025740032467125805,0.03368935347383378,0.7362446497728788
565252638480820224,502,51957,185,152.65392,1.5849078,GALAXY,STARFORMING,0.06274687,140.8226,2.60155,258.5288,2.724961,82.97444,1.948389,40.83802,1.340767,-5.166796,0.2629011,50.9469,1.465262,36.05642,1.320081,11.44219,1.116551,-29.87946,0.380344,22.09572,2.807381,186.1574,5.378724,182.999,5.452248,19.72472,0.02268217,19.47558,0.07408677,0.15796313602198286,-0.8014442528569747,1.6971804811216562,0.22972802840337916,0.19706469840110657,-0.7053911670078281,0.13946771114088644,-0.8555263264152372,0.044258860134731605,-1.3539997753064301,Star Forming,Star Forming,Star Forming,0.33653240954199304,-0.47297310496906503,,29.87946,,5.166796,Star Forming,0.059854630720204235,-1.22290224428122,0.24914000000000058,-0.018869566444096535,0.02200095062279264,Star Forming,-0.018869566444096535,0.02200095062279264,0.20826948293311143
565210032405243904,502,51957,30,154.13575,1.5339572,GALAXY,AGN,0.04897491,511.2624,6.693927,182.7701,4.643315,57.734,3.497128,237.7689,4.589603,-4.88298,0.1264823,71.61572,3.69284,54.37866,3.622594,28.20804,3.276167,-2.089975,0.1165308,64.87447,4.993799,116.3189,7.778505,102.289,7.463655,18.10659,0.01822735,16.44675,0.01712911,1.3009179291361113,0.11424989913838193,8.855482038313646,0.9472122065065345,0.39183498832686525,-0.40689678692512554,0.2975249233873593,-0.5264766479649245,0.15433618518565126,-0.8115322386545271,AGN,AGN,AGN,0.6893599117142246,-0.16155397568222846,,2.089975,,4.88298,RG,0.29676178216798205,-0.5275920294788108,1.659839999999999,0.01856329357739239,0.10901006783161063,AGN,0.01856329357739239,0.10901006783161063,1.5693932257457808
